src_company_id,rel_type,dst_company_id,confidence_plink,strength,evidence,source,valid_from,valid_to
300750.SZ,SUPPLIES,TSLA,1.0,1.0,"CATL supplies batteries to Tesla","report",2020-01-01,
373220.KS,SUPPLIES,GM,1.0,1.0,"LG Energy Solution supplies to GM (Ultium Cells)","report",2020-01-01,
373220.KS,SUPPLIES,F,1.0,1.0,"LG Energy Solution supplies to Ford","report",2020-01-01,
373220.KS,SUPPLIES,TSLA,0.9,0.8,"LG Energy Solution supplies 2170 cells to Tesla","report",2020-01-01,
002460.SZ,SUPPLIES,300750.SZ,1.0,0.9,"Ganfeng Lithium supplies Lithium to CATL","report",2018-01-01,
002460.SZ,SUPPLIES,TSLA,1.0,0.7,"Ganfeng Lithium supplies Lithium to Tesla","report",2018-01-01,
603799.SH,SUPPLIES,373220.KS,1.0,0.8,"Huayou Cobalt supplies Cobalt/Nickel to LGES","report",2019-01-01,
603799.SH,SUPPLIES,300750.SZ,1.0,0.8,"Huayou Cobalt supplies Precursors to CATL","report",2019-01-01,
300037.SZ,SUPPLIES,300750.SZ,1.0,0.7,"Capchem supplies Electrolyte to CATL","report",2018-01-01,
247540.KQ,SUPPLIES,373220.KS,1.0,0.9,"EcoPro BM supplies Cathode to LGES","report",2019-01-01,
247540.KQ,SUPPLIES,3407.T,0.8,0.5,"EcoPro BM partners with Asahi Kasei (Sample)","report",2021-01-01,
002466.SZ,SUPPLIES,300750.SZ,1.0,0.8,"Tianqi Lithium supplies Lithium to CATL","report",2018-01-01,
603993.SH,SUPPLIES,300750.SZ,1.0,0.7,"CMOC supplies Cobalt/Copper to CATL","report",2019-01-01,
ALB,SUPPLIES,373220.KS,1.0,0.8,"Albemarle supplies Lithium to LGES","report",2018-01-01,
ALB,SUPPLIES,TSLA,1.0,0.8,"Albemarle supplies Lithium to Tesla","report",2018-01-01,
GLEN.L,SUPPLIES,300750.SZ,1.0,0.9,"Glencore supplies Cobalt to CATL","report",2019-01-01,
GLEN.L,SUPPLIES,TSLA,0.9,0.6,"Glencore supplies Cobalt to Tesla","report",2019-01-01,
0175.HK,PARTNERS_WITH,300750.SZ,1.0,0.8,"Geely-CATL Joint Venture","report",2019-01-01,
1211.HK,COMPETES_WITH,TSLA,1.0,1.0,"BYD competes with Tesla in EV market","report",2015-01-01,
3931.HK,SUPPLIES,600733.SH,1.0,0.7,"CALB supplies to BAIC BluePark","report",2020-01-01,
000625.SZ,SUPPLIES,300750.SZ,0.9,0.7,"Changan Automobile sources from CATL","report",2020-01-01,
BMW.DE,SUPPLIES,300750.SZ,1.0,0.8,"BMW sources batteries from CATL","report",2019-01-01,
BMW.DE,SUPPLIES,373220.KS,1.0,0.7,"BMW sources batteries from LGES","report",2019-01-01,
7267.T,SUPPLIES,373220.KS,1.0,0.8,"Honda-LGES Joint Venture in USA","report",2022-01-01,
LCID,SUPPLIES,373220.KS,0.9,0.5,"Lucid sources from LGES","report",2021-01-01,
066970.KS,SUPPLIES,373220.KS,1.0,0.9,"L&F supplies Cathode to LGES","report",2019-01-01,
003670.KS,SUPPLIES,300750.SZ,0.9,0.7,"POSCO Future M supplies to CATL (Sample)","report",2020-01-01,
003670.KS,SUPPLIES,373220.KS,1.0,0.9,"POSCO Future M supplies Cathode/Anode to LGES","report",2019-01-01,
LICY,PARTNERS_WITH,GLEN.L,1.0,0.7,"Li-Cycle and Glencore Strategic Partnership","report",2022-01-01,
BAS.DE,PARTNERS_WITH,300750.SZ,1.0,0.6,"BASF and CATL partnership for battery materials","report",2021-01-01,
Chile,PRODUCES,Lithium,1.0,1.0,"Major lithium producer","report",,
Australia,PRODUCES,Lithium,1.0,1.0,"Major lithium producer","report",,
Indonesia,PRODUCES,Nickel,1.0,1.0,"Major nickel producer","report",,
Congo,PRODUCES,Cobalt,1.0,1.0,"Major cobalt producer","report",,
China,PRODUCES,Refined_Materials,1.0,1.0,"Dominant refiner","report",,
ALB,LOCATED_IN,Chile,1.0,0.8,"Albemarle Chile operations","report",,
ALB,LOCATED_IN,Australia,1.0,0.7,"Albemarle Australia operations","report",,
300750.SZ,BUYS_FROM,Chile,0.9,0.6,"CATL lithium sourcing from Chile","report",,
373220.KS,BUYS_FROM,Indonesia,0.9,0.7,"LGES nickel sourcing from Indonesia","report",,
GLEN.L,LOCATED_IN,Congo,1.0,0.9,"Glencore cobalt mines in DRC","report",,
603993.SH,LOCATED_IN,Congo,1.0,0.8,"CMOC cobalt mines in DRC","report",,
Shanghai_Port,LOCATED_IN,China,1.0,1.0,"Major logistics hub","report",,
300750.SZ,BUYS_FROM,Shanghai_Port,1.0,0.8,"Logistics reliance on Shanghai","report",,
1211.HK,BUYS_FROM,Shanghai_Port,1.0,0.8,"Logistics reliance on Shanghai (BYD)","report",,
Long_Beach_Port,LOCATED_IN,USA,1.0,1.0,"US-West logistics hub","report",,
TSLA,BUYS_FROM,Long_Beach_Port,1.0,0.9,"Tesla logistics reliance","report",,
920185.BJ,SUPPLIES,300750.SZ,1.0,0.9,"BTR supplies Anode to CATL",report,2018-01-01,
920185.BJ,SUPPLIES,373220.KS,1.0,0.8,"BTR supplies Anode to LGES",report,2018-01-01,
300014.SZ,SUPPLIES,BMW.DE,1.0,0.7,"EVE Energy supplies batteries to BMW",report,2020-01-01,
300014.SZ,SUPPLIES,TSLA,0.9,0.6,"EVE Energy supplies to Tesla (LFP)",report,2021-01-01,
002074.SZ,PARTNERS_WITH,TSLA,0.8,0.5,"Gotion High-Tech strategic partnership",report,2021-01-01,
002074.SZ,SUPPLIES,1211.HK,0.9,0.6,"Gotion supplies to BYD (Sample)",report,2020-01-01,
300207.SZ,SUPPLIES,0175.HK,1.0,0.7,"Sunwoda supplies to Geely",report,2019-01-01,
300207.SZ,SUPPLIES,601238.SH,0.9,0.6,"Sunwoda supplies to GAC",report,2020-01-01,
300919.SZ,SUPPLIES,300750.SZ,1.0,0.9,"CNGR supplies Precursors to CATL",report,2018-01-01,
300919.SZ,SUPPLIES,373220.KS,1.0,0.8,"CNGR supplies Precursors to LGES",report,2019-01-01,
002340.SZ,SUPPLIES,300750.SZ,1.0,0.8,"GEM supplies Precursors to CATL",report,2018-01-01,
